segmentid,device,timestamp,filedate,filetimeutc,updatetimems,sequenceno,vin,utctime,startlocaltime,endlocaltime,swversionmaj,swversionmin,configversion,startlatitude,startlongitude,endlatitude,endlongitude,startodometer,endodometer,numbsmtx,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,numinforms,numgnssoutages,numcanoutages,numintersectionencounters,firmwareversionstring,configsversionstring,fullmediaversionstring,deltamediaversionstring,pluginsversionstring,totalstorageondevice,storageused,partition_date,timestamp_hr,startlocaltime_hr,endlocaltime_hr,trip_id
2cf3afe92d4cb6d7a7d2ede43803eb81,94,1658400000000.0,20220721,115618,1969-12-31 23:24:12.516352,1,f4b9ec30ad9f68f89b29639786cb62ef,1658400000000.0,42978850,43434597,,,0,40.10652949,-83.16912391,40.13484275,-83.16782061,,212720398.0,4517,0,0,683,0,0,0,3,1,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,7/21/2022,2022-07-21 10:40:00,2022-07-21 15:56:18.849999872,2022-07-21 16:03:54.596999936,9420220721115618
a9d5166a6e614885932a08d37077f39a,3022,1658420000000.0,20220721,151155,1969-12-31 23:24:12.516352,1,c8862fc1a32725712838863fb1a260b9,1658420000000.0,54715240,56667140,,,0,40.08224511,-83.15577673,40.30465941,-83.52814708,3374990.0,3421990.0,19526,1269,3780,6292,0,0,0,55,9,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,272,7/21/2022,2022-07-21 16:13:20,2022-07-21 19:11:55.240000000,2022-07-21 19:44:27.140000000,302220220721151155
506c31174c2979115e77cb645fab7a8a,3007,1658400000000.0,20220721,115231,1969-12-31 23:24:12.516352,1,a724b9124acc7b5058ed75a31a9c2919,1658400000000.0,42751192,43114792,,,0,40.12432494,-83.16334529,40.10113207,-83.16373645,26408923.0,26411925.0,2153,0,0,1716,0,0,1,54,4,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,591,7/21/2022,2022-07-21 10:40:00,2022-07-21 15:52:31.192000000,2022-07-21 15:58:34.792000000,300720220721115231
0fb1b851a8cd0923d2648e88fb2f3c4d,77,1658440000000.0,20220721,204631,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1658440000000.0,74791157,75655733,,,0,40.14420388,-82.95971853,40.09787274,-83.0261977,,,8293,0,0,0,0,0,1,18,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,307,7/21/2022,2022-07-21 21:46:40,2022-07-22 00:46:31.156999936,2022-07-22 01:00:55.732999936,7720220721204631
f13dc0c82bc6a642731671b7b3d474be,3004,1658440000000.0,20220721,205646,1969-12-31 23:24:12.516352,1,20479c788fb27378c2c99eadcf207e7f,1658440000000.0,75406340,75649440,,,0,40.00372239,-83.13981207,39.99935867,-83.14806826,272478235.0,272479216.0,2427,0,0,0,0,0,0,52,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,310,7/21/2022,2022-07-21 21:46:40,2022-07-22 00:56:46.340000000,2022-07-22 01:00:49.440000000,300420220721205646
961c9da0cae619e5d726f988bac26269,77,1658410000000.0,20220721,144606,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1658410000000.0,53166809,54033875,,,0,40.0927307,-83.09314745,40.0979094,-83.02608962,,,8601,0,0,0,0,0,0,5,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,306,7/21/2022,2022-07-21 13:26:40,2022-07-21 18:46:06.808999936,2022-07-21 19:00:33.875000064,7720220721144606
d22543f0e45f96bbad2121d6cf32eb7e,3004,1658440000000.0,20220721,225725,1969-12-31 23:24:12.516352,1,20479c788fb27378c2c99eadcf207e7f,1658440000000.0,82645834,82844035,,,0,39.99935867,-83.14806826,40.00420556,-83.14228075,272479216.0,272481227.0,1982,0,0,0,0,0,0,50,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,310,7/21/2022,2022-07-21 21:46:40,2022-07-22 02:57:25.833999872,2022-07-22 03:00:44.035000064,300420220721225725
0c56bd42663346b4268238a689982f3f,3035,1658430000000.0,20220721,193434,1969-12-31 23:24:12.516352,1,03bfc1d4783966c69cc6aef8247e0103,1658430000000.0,70474125,72368625,,,0,40.10903816,-83.18800812,40.27726682,-83.51138699,349717000.0,349756001.0,18858,461,56090,8325,0,0,0,119,255,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,310,7/21/2022,2022-07-21 19:00:00,2022-07-21 23:34:34.124999936,2022-07-22 00:06:08.624999936,303520220721193434
aa62091edeca15051b8a52d218983a50,160,1658420000000.0,20220721,162413,1969-12-31 23:24:12.516352,1,b73ce398c39f506af761d2277d853a92,1658420000000.0,59053831,59770202,,,0,40.03086198,-83.11438192,40.0143537,-83.14267572,,38668891.0,7128,0,0,0,0,0,0,5,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,332,7/21/2022,2022-07-21 16:13:20,2022-07-21 20:24:13.831000064,2022-07-21 20:36:10.201999872,16020220721162413
bd9c855b24f06806de4e815700cd12a8,133,1658430000000.0,20220721,184727,1969-12-31 23:24:12.516352,1,9fc3d7152ba9336a670e36d0ed79bc43,1658430000000.0,67647350,69555748,,,0,40.10529722,-83.01819788,40.22912385,-83.37080859,,117652661.0,19049,1669,0,3398,0,0,0,3,3,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,303,7/21/2022,2022-07-21 19:00:00,2022-07-21 22:47:27.350000128,2022-07-21 23:19:15.748000000,13320220721184727
79b31a0cbcaea01f7a68f54962540ccd,97,1653780000000.0,20220528,231656,1969-12-31 23:24:12.516352,1,e2ef524fbf3d9fe611d5a8e90fefdc9c,1653780000000.0,83816487,83880993,,,0,40.04257723,-83.15254293,40.04257723,-83.15254293,,237547334.0,607,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:16:56.487000064,2022-05-29 03:18:00.992999936,9720220528231656
9acbc4ec6acdff333907a79c924e26be,3048,1653740000000.0,20220528,114630,1969-12-31 23:24:12.516352,1,5da713a690c067105aeb2fae32403405,1653740000000.0,42390810,42601810,,,0,40.06746543,-83.12769846,40.08127355,-83.12827576,9503973.0,9505972.0,2107,0,0,0,0,0,0,53,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,446,5/28/2022,2022-05-28 12:13:20,2022-05-28 15:46:30.809999872,2022-05-28 15:50:01.809999872,304820220528114630
3f17982db9fa0f5c5cce6212c2db5466,97,1653780000000.0,20220528,232720,1969-12-31 23:24:12.516352,1,e2ef524fbf3d9fe611d5a8e90fefdc9c,1653780000000.0,84440729,84466131,,,0,40.04257723,-83.15254293,40.04257723,-83.15254293,,237547334.0,217,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:27:20.728999936,2022-05-29 03:27:46.131000064,9720220528232720
77aa0e82b68385e8eb1098efdf7baba8,97,1653780000000.0,20220528,230536,1969-12-31 23:24:12.516352,1,e2ef524fbf3d9fe611d5a8e90fefdc9c,1653780000000.0,83136766,83145367,,,0,40.04257723,-83.15254293,40.04257723,-83.15254293,,237547334.0,50,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:05:36.766000128,2022-05-29 03:05:45.367000064,9720220528230536
14180d64f578f0b17deaa783f51915fd,97,1653780000000.0,20220528,234052,1969-12-31 23:24:12.516352,1,e2ef524fbf3d9fe611d5a8e90fefdc9c,1653780000000.0,85252235,85278437,,,0,40.04257723,-83.15254293,40.04257723,-83.15254293,,237547334.0,224,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:40:52.235000064,2022-05-29 03:41:18.436999936,9720220528234052
ff8ee150a54c78d1987c6e3905dc940b,97,1653780000000.0,20220528,232837,1969-12-31 23:24:12.516352,1,e2ef524fbf3d9fe611d5a8e90fefdc9c,1653780000000.0,84517755,84577463,,,0,40.04257723,-83.15254293,40.04257723,-83.15254293,,237547334.0,559,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:28:37.755000064,2022-05-29 03:29:37.463000064,9720220528232837
819a50b29a3e0407263d8e44ea0bea09,70,1653700000000.0,20220528,15013,1969-12-31 23:24:12.516352,1,7cbbc409ec990f19c78c75bd1e06f215,1653700000000.0,6613074,7532758,,,0,40.08120395,-82.81413687,40.19794562,-82.75360666,,69650801.0,9167,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,336,5/28/2022,2022-05-28 01:06:40,2022-05-28 05:50:13.073999872,2022-05-28 06:05:32.758000128,702022052815013
cfeefe09b6250a224d9c501d7a08a1de,84,1653780000000.0,20220528,234039,1969-12-31 23:24:12.516352,1,68d30a9594728bc39aa24be94b319d21,1653780000000.0,85239555,85246856,,,0,39.96478279,-83.01852688,39.96492839,-83.0188814,,76144784.0,36,0,0,0,0,0,0,5,0,,,,,,5110,332,5/28/2022,2022-05-28 23:20:00,2022-05-29 03:40:39.555000064,2022-05-29 03:40:46.856000000,8420220528234039
062937e52ad9651cc894379a822932a9,3078,1653780000000.0,20220528,223332,1969-12-31 23:24:12.516352,1,1091660f3dff84fd648efe31391c5524,1653780000000.0,81212027,81597427,,,0,40.03169751,-83.13074757,40.01913444,-83.13213774,29934915.0,29936914.0,3855,0,0,0,0,0,0,50,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 02:33:32.027000064,2022-05-29 02:39:57.427000064,307820220528223332
4cdfada67dd5eddfcc0f16452311f5d8,3048,1653750000000.0,20220528,142246,1969-12-31 23:24:12.516352,1,5da713a690c067105aeb2fae32403405,1653750000000.0,51766750,52262350,,,0,40.09836483,-83.12255557,40.09801053,-83.08658629,9512972.0,9515973.0,4956,0,0,6737,0,0,0,50,9,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,446,5/28/2022,2022-05-28 15:00:00,2022-05-28 18:22:46.750000128,2022-05-28 18:31:02.350000128,304820220528142246
dd2d7a5f7b29c5b2062225880c627235,3078,1653780000000.0,20220528,222454,1969-12-31 23:24:12.516352,1,1091660f3dff84fd648efe31391c5524,1653780000000.0,80694067,81006067,,,0,40.02946673,-83.11642104,40.03169751,-83.13074757,29931913.0,29934915.0,3116,0,0,0,0,0,0,51,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,331,5/28/2022,2022-05-28 23:20:00,2022-05-29 02:24:54.067000064,2022-05-29 02:30:06.067000064,307820220528222454
2c3e82ece37e22dcb5505aadd13da1c5,3007,1653480000000.0,20220525,131637,1969-12-31 23:24:12.516352,1,a724b9124acc7b5058ed75a31a9c2919,1653480000000.0,47797753,49780053,,,0,40.12433808,-83.1633579,40.30380823,-83.52604071,24703930.0,24749929.0,19817,6318,568,1758,0,0,0,52,4,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,591,5/25/2022,2022-05-25 12:00:00,2022-05-25 17:16:37.752999936,2022-05-25 17:49:40.052999936,300720220525131637
41a0f1095dfec180dc0476fb92ad695f,3045,1653510000000.0,20220525,190435,1969-12-31 23:24:12.516352,1,0ebf197205c00fc6e0aac7261a8c1bdc,1653510000000.0,68675796,68675796,,,0,39.99342695,-83.00653749,39.99342695,-83.00653749,,,0,0,0,0,0,0,0,254,255,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,0,0,5/25/2022,2022-05-25 20:20:00,2022-05-25 23:04:35.796000000,2022-05-25 23:04:35.796000000,304520220525190435
af4e4df7fec3dafc81915f44d8d132f8,3053,1653480000000.0,20220525,120116,1969-12-31 23:24:12.516352,1,177540c7bcb8db31697b601642eac8d4,1653480000000.0,43276495,43518095,,,0,40.12064437,-83.16090552,40.12286639,-83.14203846,23335932.0,23336934.0,2403,0,0,0,0,0,0,52,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,331,5/25/2022,2022-05-25 12:00:00,2022-05-25 16:01:16.495000064,2022-05-25 16:05:18.095000064,305320220525120116
7d3bf95af6f1e46dc5860907e2a151bd,3045,1653480000000.0,20220525,122751,1969-12-31 23:24:12.516352,1,0ebf197205c00fc6e0aac7261a8c1bdc,1653480000000.0,44870941,44870941,,,0,39.99342695,-83.00653749,39.99342695,-83.00653749,,,0,0,0,0,0,0,0,254,255,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,0,0,5/25/2022,2022-05-25 12:00:00,2022-05-25 16:27:50.940999936,2022-05-25 16:27:50.940999936,304520220525122751
ca61c5c7497983c093959d81bb0ac48e,122,1653500000000.0,20220525,161621,1969-12-31 23:24:12.516352,1,a0a080f42e6f13b3a2df133f073095dd,1653500000000.0,58581802,59026045,,,0,40.07703339,-83.13121593,40.05171206,-83.16463396,,120662655.0,4408,0,0,0,0,0,0,3,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,334,5/25/2022,2022-05-25 17:33:20,2022-05-25 20:16:21.801999872,2022-05-25 20:23:46.044999936,12220220525161621
0a726671e07b64ceb4b28c891c48f5a6,84,1653500000000.0,20220525,181314,1969-12-31 23:24:12.516352,1,68d30a9594728bc39aa24be94b319d21,1653500000000.0,65594838,65942172,,,0,40.07702279,-83.13038633,40.06300535,-83.15370443,,75964783.0,3438,0,0,0,0,0,0,5,0,HSC V3.11,HSC V3.11-NOSEC-CH180,HSC V3.11,0,0,5110,332,5/25/2022,2022-05-25 17:33:20,2022-05-25 22:13:14.838000128,2022-05-25 22:19:02.172000000,8420220525181314
1a1ebe74af8ef302a54dd0d0ef51c4bc,3048,1653520000000.0,20220525,214716,1969-12-31 23:24:12.516352,1,5da713a690c067105aeb2fae32403405,1653520000000.0,78436248,78683749,,,0,40.07084342,-83.11921818,40.06668227,-83.13093269,9470972.0,9472972.0,2314,0,0,0,0,0,2,51,0,HONDA-HSC-C-V1.26,0,HONDA-HSC-C-V1.11r1,HONDA-HSC-C-V1.14,0,5038,447,5/25/2022,2022-05-25 23:06:40,2022-05-26 01:47:16.248000000,2022-05-26 01:51:23.748999936,304820220525214716
